Parameters: 21,070,378
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[93/1010] 	| 45.84 | 77.77 | 44.44 | 75.30 |
[94/1010] 	| 46.93 | 78.68 | 43.55 | 76.79 |
[95/1010] 	| 47.38 | 79.66 | 43.95 | 76.29 |
[96/1010] 	| 47.94 | 80.29 | 46.33 | 76.88 |
[97/1010] 	| 48.71 | 80.17 | 45.24 | 76.09 |
[98/1010] 	| 48.48 | 79.37 | 46.23 | 77.68 |
[99/1010] 	| 49.68 | 80.66 | 48.12 | 77.78 |
[100/1010] 	| 51.08 | 81.72 | 50.50 | 80.75 |
[101/1010] 	| 51.55 | 81.62 | 50.10 | 79.46 |
[102/1010] 	| 52.35 | 82.15 | 46.73 | 79.37 |
[103/1010] 	| 53.15 | 82.36 | 48.51 | 78.47 |
[104/1010] 	| 53.24 | 83.20 | 50.20 | 81.35 |
[105/1010] 	| 54.43 | 83.93 | 52.88 | 80.56 |
[106/1010] 	| 55.74 | 84.43 | 49.50 | 79.66 |
[107/1010] 	| 56.07 | 84.25 | 52.98 | 81.35 |
[108/1010] 	| 57.12 | 85.44 | 53.47 | 81.35 |
[109/1010] 	| 58.01 | 85.81 | 53.17 | 82.44 |
[110/1010] 	| 58.80 | 86.73 | 53.87 | 82.14 |
[111/1010] 	| 59.78 | 86.92 | 54.96 | 82.74 |
[112/1010] 	| 60.22 | 87.47 | 54.07 | 83.43 |
[113/1010] 	| 61.78 | 88.21 | 54.37 | 82.34 |
[114/1010] 	| 62.94 | 88.36 | 55.46 | 82.54 |
[115/1010] 	| 63.39 | 88.88 | 57.14 | 84.42 |
[116/1010] 	| 63.51 | 88.52 | 55.46 | 82.84 |
[117/1010] 	| 64.42 | 89.30 | 56.15 | 83.73 |
[118/1010] 	| 65.60 | 89.95 | 55.26 | 82.64 |
[119/1010] 	| 65.52 | 89.85 | 58.13 | 86.11 |
[120/1010] 	| 66.66 | 90.89 | 57.34 | 84.62 |
[121/1010] 	| 67.79 | 90.83 | 58.93 | 85.42 |
[122/1010] 	| 69.12 | 92.05 | 58.43 | 85.02 |
[123/1010] 	| 69.43 | 91.66 | 56.94 | 85.02 |
[124/1010] 	| 69.52 | 92.17 | 55.95 | 84.03 |
[125/1010] 	| 71.34 | 92.77 | 57.54 | 83.73 |
[126/1010] 	| 71.69 | 92.98 | 57.14 | 85.22 |
[127/1010] 	| 72.39 | 93.10 | 55.95 | 85.52 |
[128/1010] 	| 72.38 | 93.10 | 57.94 | 85.91 |
[129/1010] 	| 73.22 | 93.71 | 55.65 | 85.91 |
[130/1010] 	| 74.27 | 94.06 | 57.24 | 85.42 |
[131/1010] 	| 75.30 | 94.27 | 57.04 | 86.31 |
[132/1010] 	| 75.38 | 94.45 | 58.93 | 86.31 |
[133/1010] 	| 76.20 | 94.88 | 58.43 | 85.91 |
[134/1010] 	| 75.47 | 94.28 | 61.01 | 86.81 |
[135/1010] 	| 76.96 | 95.21 | 60.32 | 84.13 |
[136/1010] 	| 78.37 | 95.93 | 56.85 | 85.91 |
[137/1010] 	| 77.76 | 95.13 | 55.95 | 82.94 |
[138/1010] 	| 78.34 | 95.54 | 56.55 | 83.93 |
[139/1010] 	| 79.26 | 95.95 | 56.45 | 86.11 |
[140/1010] 	| 79.39 | 95.97 | 58.13 | 84.72 |
[141/1010] 	| 79.89 | 96.14 | 60.12 | 85.52 |
[142/1010] 	| 79.72 | 96.39 | 57.14 | 84.23 |
[143/1010] 	| 80.57 | 96.30 | 58.93 | 85.32 |
[144/1010] 	| 80.55 | 96.46 | 59.72 | 86.61 |
[145/1010] 	| 81.51 | 96.16 | 58.73 | 86.61 |
[146/1010] 	| 80.98 | 96.65 | 58.63 | 85.71 |
[147/1010] 	| 82.33 | 97.15 | 58.13 | 85.52 |
[148/1010] 	| 81.74 | 96.42 | 57.54 | 84.82 |
[149/1010] 	| 81.75 | 96.26 | 57.54 | 85.81 |
[150/1010] 	| 81.85 | 96.41 | 58.04 | 85.91 |
[151/1010] 	| 83.27 | 97.12 | 59.72 | 84.92 |
[152/1010] 	| 82.76 | 96.69 | 59.13 | 85.32 |
[153/1010] 	| 82.68 | 96.92 | 59.42 | 87.10 |
[154/1010] 	| 83.37 | 97.04 | 59.23 | 85.52 |
[155/1010] 	| 83.07 | 96.89 | 58.73 | 86.01 |
[156/1010] 	| 83.59 | 96.76 | 58.04 | 83.53 |
[157/1010] 	| 83.64 | 97.22 | 58.63 | 87.10 |
[158/1010] 	| 83.83 | 97.36 | 58.93 | 85.81 |
[159/1010] 	| 83.79 | 96.85 | 60.42 | 87.10 |
[160/1010] 	| 84.90 | 97.26 | 58.23 | 85.62 |
[161/1010] 	| 84.53 | 97.28 | 58.04 | 85.52 |
