Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[93/1010] 	| 54.59 | 83.32 | 54.07 | 81.65 |
[94/1010] 	| 55.40 | 83.51 | 54.07 | 82.84 |
[95/1010] 	| 56.83 | 85.22 | 50.60 | 79.96 |
[96/1010] 	| 56.45 | 85.18 | 55.85 | 82.94 |
[97/1010] 	| 57.32 | 85.09 | 53.47 | 83.04 |
[98/1010] 	| 57.76 | 85.48 | 55.46 | 82.14 |
[99/1010] 	| 58.04 | 85.70 | 56.65 | 83.33 |
[100/1010] 	| 58.51 | 85.80 | 54.86 | 84.42 |
[101/1010] 	| 59.40 | 86.55 | 58.33 | 83.93 |
[102/1010] 	| 60.69 | 87.44 | 55.95 | 84.82 |
[103/1010] 	| 60.58 | 87.23 | 55.95 | 84.23 |
[104/1010] 	| 61.33 | 86.94 | 56.85 | 83.23 |
[105/1010] 	| 62.22 | 88.02 | 55.36 | 84.62 |
[106/1010] 	| 62.46 | 88.45 | 56.05 | 84.62 |
[107/1010] 	| 63.09 | 88.30 | 58.73 | 84.33 |
[108/1010] 	| 63.22 | 88.60 | 60.02 | 84.52 |
[109/1010] 	| 63.83 | 88.88 | 56.15 | 86.81 |
[110/1010] 	| 63.45 | 89.16 | 58.23 | 86.41 |
[111/1010] 	| 64.65 | 89.35 | 58.53 | 85.52 |
[112/1010] 	| 65.32 | 89.88 | 61.71 | 87.70 |
[113/1010] 	| 65.46 | 89.65 | 55.26 | 85.52 |
[114/1010] 	| 65.10 | 89.49 | 60.62 | 87.50 |
[115/1010] 	| 66.16 | 89.95 | 58.23 | 86.61 |
[116/1010] 	| 66.44 | 90.04 | 61.01 | 85.22 |
[117/1010] 	| 66.23 | 90.59 | 61.41 | 86.81 |
[118/1010] 	| 68.14 | 90.79 | 60.91 | 88.39 |
[119/1010] 	| 67.24 | 90.94 | 63.00 | 90.18 |
[120/1010] 	| 67.92 | 90.97 | 61.61 | 87.90 |
[121/1010] 	| 68.83 | 91.09 | 62.80 | 88.39 |
[122/1010] 	| 69.87 | 91.85 | 62.30 | 88.39 |
[123/1010] 	| 69.34 | 92.12 | 62.10 | 87.60 |
[124/1010] 	| 70.45 | 92.23 | 61.01 | 86.90 |
[125/1010] 	| 70.73 | 92.80 | 62.20 | 88.49 |
[126/1010] 	| 71.47 | 92.72 | 62.70 | 88.89 |
[127/1010] 	| 71.56 | 92.78 | 61.41 | 88.69 |
[128/1010] 	| 72.06 | 92.96 | 64.48 | 88.99 |
[129/1010] 	| 72.30 | 93.25 | 61.90 | 88.19 |
[130/1010] 	| 73.05 | 93.75 | 63.59 | 89.88 |
[131/1010] 	| 73.79 | 93.55 | 63.69 | 87.80 |
[132/1010] 	| 74.39 | 93.78 | 63.29 | 88.69 |
[133/1010] 	| 74.71 | 94.21 | 62.60 | 88.79 |
[134/1010] 	| 74.73 | 93.92 | 64.78 | 90.18 |
[135/1010] 	| 75.87 | 94.63 | 64.19 | 89.58 |
[136/1010] 	| 76.87 | 95.04 | 63.10 | 87.80 |
[137/1010] 	| 76.55 | 95.07 | 65.67 | 89.48 |
[138/1010] 	| 77.51 | 94.78 | 63.89 | 88.39 |
[139/1010] 	| 78.94 | 95.17 | 63.69 | 90.08 |
[140/1010] 	| 79.20 | 95.50 | 64.19 | 88.69 |
[141/1010] 	| 79.05 | 95.81 | 65.87 | 89.58 |
[142/1010] 	| 79.37 | 95.71 | 63.10 | 89.48 |
[143/1010] 	| 80.24 | 96.30 | 63.39 | 88.59 |
[144/1010] 	| 80.58 | 96.17 | 66.67 | 89.78 |
[145/1010] 	| 81.38 | 96.22 | 64.58 | 89.09 |
[146/1010] 	| 81.11 | 96.79 | 67.36 | 91.17 |
[147/1010] 	| 82.41 | 96.99 | 65.67 | 89.88 |
[148/1010] 	| 82.03 | 96.75 | 66.07 | 89.19 |
[149/1010] 	| 82.46 | 96.93 | 66.07 | 89.58 |
[150/1010] 	| 83.32 | 96.73 | 64.78 | 89.78 |
[151/1010] 	| 83.60 | 97.18 | 67.56 | 89.29 |
[152/1010] 	| 83.74 | 97.05 | 67.16 | 90.97 |
[153/1010] 	| 83.42 | 97.29 | 67.16 | 89.19 |
[154/1010] 	| 84.71 | 97.50 | 66.96 | 90.48 |
[155/1010] 	| 85.13 | 97.46 | 68.35 | 90.18 |
[156/1010] 	| 84.98 | 97.40 | 67.16 | 88.99 |
[157/1010] 	| 84.83 | 97.44 | 65.08 | 89.48 |
[158/1010] 	| 85.98 | 97.78 | 66.77 | 90.67 |
[159/1010] 	| 85.72 | 97.81 | 68.25 | 90.67 |
[160/1010] 	| 86.23 | 97.99 | 66.57 | 91.07 |
[161/1010] 	| 86.21 | 97.82 | 66.96 | 88.49 |
[162/1010] 	| 86.84 | 97.69 | 66.67 | 91.37 |
[163/1010] 	| 86.53 | 97.81 | 65.58 | 91.47 |
[164/1010] 	| 86.30 | 98.10 | 65.87 | 89.58 |
[165/1010] 	| 87.07 | 97.95 | 67.86 | 88.99 |
[166/1010] 	| 87.21 | 98.04 | 70.73 | 90.28 |
[167/1010] 	| 86.83 | 97.94 | 68.45 | 91.07 |
[168/1010] 	| 87.70 | 98.19 | 68.75 | 89.19 |
[169/1010] 	| 87.89 | 98.15 | 70.14 | 89.98 |
[170/1010] 	| 88.47 | 98.17 | 65.77 | 87.90 |
[171/1010] 	| 88.16 | 98.12 | 67.36 | 89.29 |
[172/1010] 	| 87.98 | 98.29 | 66.07 | 90.77 |
[173/1010] 	| 88.37 | 98.29 | 67.76 | 89.29 |
[174/1010] 	| 88.47 | 98.13 | 65.67 | 88.10 |
[175/1010] 	| 89.17 | 98.24 | 67.56 | 89.78 |
[176/1010] 	| 88.68 | 98.21 | 67.46 | 90.48 |
[177/1010] 	| 88.49 | 98.28 | 68.35 | 89.38 |
[178/1010] 	| 89.78 | 98.52 | 63.69 | 89.68 |
[179/1010] 	| 89.29 | 98.35 | 66.67 | 89.68 |
[180/1010] 	| 88.58 | 98.08 | 69.54 | 89.98 |
[181/1010] 	| 89.32 | 98.51 | 68.15 | 89.38 |
[182/1010] 	| 89.97 | 98.65 | 69.05 | 89.58 |
[183/1010] 	| 88.81 | 98.52 | 68.55 | 90.28 |
[184/1010] 	| 89.29 | 98.20 | 64.78 | 88.99 |
[185/1010] 	| 89.99 | 98.57 | 66.87 | 90.67 |
[186/1010] 	| 89.15 | 98.37 | 67.86 | 90.18 |
[187/1010] 	| 89.47 | 98.33 | 66.87 | 89.78 |
[188/1010] 	| 90.34 | 98.55 | 68.45 | 89.98 |
[189/1010] 	| 90.83 | 98.53 | 67.56 | 90.08 |
[190/1010] 	| 90.22 | 98.79 | 66.17 | 89.29 |
[191/1010] 	| 89.70 | 98.52 | 70.04 | 90.87 |
[192/1010] 	| 90.34 | 98.74 | 69.25 | 91.37 |
[193/1010] 	| 90.57 | 98.58 | 65.77 | 89.09 |
[194/1010] 	| 90.46 | 98.70 | 67.36 | 90.48 |
[195/1010] 	| 89.97 | 98.52 | 66.96 | 89.98 |
[196/1010] 	| 90.51 | 98.82 | 68.45 | 89.48 |
[197/1010] 	| 90.70 | 98.83 | 67.86 | 90.28 |
[198/1010] 	| 89.92 | 98.32 | 66.57 | 90.08 |
[199/1010] 	| 90.85 | 98.74 | 67.76 | 90.08 |
[200/1010] 	| 90.93 | 98.81 | 67.46 | 89.68 |
[201/1010] 	| 91.47 | 98.94 | 68.25 | 91.67 |
[202/1010] 	| 91.17 | 98.91 | 70.34 | 90.97 |
[203/1010] 	| 90.87 | 98.74 | 68.06 | 89.98 |
[204/1010] 	| 90.36 | 98.63 | 66.96 | 89.88 |
[205/1010] 	| 91.30 | 98.85 | 66.87 | 90.38 |
[206/1010] 	| 91.76 | 98.81 | 65.58 | 90.28 |
[207/1010] 	| 91.03 | 98.77 | 69.74 | 90.87 |
[208/1010] 	| 90.58 | 98.79 | 68.75 | 89.88 |
[209/1010] 	| 90.68 | 98.93 | 69.25 | 90.48 |
[210/1010] 	| 90.97 | 98.85 | 66.27 | 91.27 |
[211/1010] 	| 91.37 | 98.81 | 68.25 | 91.27 |
[212/1010] 	| 91.08 | 98.69 | 69.54 | 89.48 |
[213/1010] 	| 91.27 | 98.80 | 65.77 | 88.79 |
[214/1010] 	| 91.92 | 98.89 | 69.15 | 90.58 |
[215/1010] 	| 91.94 | 98.77 | 66.37 | 89.38 |
[216/1010] 	| 91.51 | 98.87 | 67.56 | 90.67 |
[217/1010] 	| 91.65 | 98.87 | 68.65 | 90.58 |
[218/1010] 	| 92.00 | 98.93 | 69.74 | 91.27 |
[219/1010] 	| 91.63 | 98.98 | 68.45 | 89.68 |
[220/1010] 	| 91.64 | 98.87 | 70.24 | 91.96 |
[221/1010] 	| 92.70 | 99.04 | 65.97 | 89.78 |
[222/1010] 	| 91.95 | 98.87 | 70.24 | 90.48 |
[223/1010] 	| 91.94 | 98.85 | 69.05 | 90.58 |
[224/1010] 	| 92.15 | 98.85 | 69.15 | 90.08 |
[225/1010] 	| 91.97 | 98.99 | 71.03 | 89.68 |
[226/1010] 	| 92.19 | 98.79 | 68.45 | 90.97 |
[227/1010] 	| 92.67 | 99.05 | 67.96 | 89.68 |
[228/1010] 	| 91.86 | 98.88 | 67.36 | 89.09 |
[229/1010] 	| 91.53 | 98.93 | 68.65 | 89.88 |
[230/1010] 	| 92.53 | 99.02 | 68.95 | 90.38 |
[231/1010] 	| 91.57 | 98.90 | 66.37 | 89.98 |
[232/1010] 	| 92.27 | 99.09 | 69.05 | 89.88 |
[233/1010] 	| 92.48 | 98.99 | 71.83 | 90.67 |
[234/1010] 	| 91.87 | 98.97 | 69.84 | 91.07 |
[235/1010] 	| 92.39 | 98.92 | 66.96 | 89.38 |
[236/1010] 	| 92.74 | 99.08 | 69.54 | 89.98 |
[237/1010] 	| 92.53 | 98.82 | 67.86 | 90.38 |
[238/1010] 	| 92.46 | 98.98 | 69.94 | 90.28 |
[239/1010] 	| 92.58 | 99.14 | 69.25 | 89.58 |
[240/1010] 	| 91.97 | 98.93 | 68.25 | 89.29 |
