Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/1010] 	| 13.39 | 38.17 | 13.89 | 40.38 |
[2/1010] 	| 15.59 | 42.74 | 21.03 | 49.11 |
[3/1010] 	| 19.85 | 51.69 | 26.19 | 55.85 |
[4/1010] 	| 23.91 | 57.14 | 28.17 | 62.80 |
[5/1010] 	| 27.20 | 61.11 | 28.87 | 61.41 |
[6/1010] 	| 28.96 | 62.40 | 29.17 | 65.08 |
[7/1010] 	| 29.05 | 63.28 | 28.77 | 62.30 |
[8/1010] 	| 29.29 | 63.48 | 31.55 | 65.77 |
[9/1010] 	| 29.84 | 64.18 | 32.94 | 67.06 |
[10/1010] 	| 30.92 | 65.12 | 29.46 | 65.48 |
[11/1010] 	| 31.11 | 64.30 | 33.13 | 67.46 |
[12/1010] 	| 32.28 | 67.10 | 34.13 | 67.66 |
[13/1010] 	| 32.85 | 67.60 | 36.61 | 70.24 |
[14/1010] 	| 33.95 | 67.88 | 35.52 | 66.96 |
[15/1010] 	| 34.81 | 69.95 | 32.44 | 70.63 |
[16/1010] 	| 34.99 | 69.32 | 35.42 | 70.04 |
[17/1010] 	| 36.68 | 70.25 | 36.81 | 69.64 |
[18/1010] 	| 36.48 | 70.18 | 36.71 | 69.05 |
[19/1010] 	| 37.19 | 70.94 | 37.50 | 73.12 |
[20/1010] 	| 37.90 | 71.73 | 35.52 | 70.73 |
[21/1010] 	| 38.42 | 71.76 | 40.58 | 75.40 |
[22/1010] 	| 39.49 | 72.69 | 39.58 | 72.52 |
[23/1010] 	| 38.93 | 73.14 | 40.77 | 75.10 |
[24/1010] 	| 40.32 | 73.88 | 39.29 | 72.82 |
[25/1010] 	| 40.24 | 73.97 | 40.48 | 74.90 |
[26/1010] 	| 41.28 | 74.40 | 39.09 | 72.42 |
[27/1010] 	| 40.66 | 74.23 | 42.06 | 75.00 |
[28/1010] 	| 42.02 | 74.86 | 40.28 | 75.69 |
[29/1010] 	| 42.32 | 75.87 | 38.69 | 73.81 |
[30/1010] 	| 41.89 | 75.59 | 41.17 | 74.80 |
[31/1010] 	| 41.63 | 74.21 | 40.48 | 74.11 |
[32/1010] 	| 41.20 | 74.50 | 37.60 | 71.43 |
[33/1010] 	| 42.20 | 75.62 | 39.19 | 73.51 |
[34/1010] 	| 43.99 | 76.62 | 41.67 | 76.09 |
[35/1010] 	| 43.97 | 76.56 | 41.17 | 74.21 |
[36/1010] 	| 41.08 | 73.80 | 41.17 | 76.29 |
[37/1010] 	| 44.36 | 76.86 | 41.67 | 76.79 |
[38/1010] 	| 44.05 | 76.91 | 41.07 | 74.60 |
[39/1010] 	| 44.76 | 76.78 | 40.28 | 75.60 |
[40/1010] 	| 45.56 | 77.11 | 41.87 | 73.31 |
[41/1010] 	| 35.22 | 67.74 | 28.08 | 59.52 |
[42/1010] 	| 29.53 | 62.90 | 30.06 | 62.90 |
[43/1010] 	| 31.59 | 65.45 | 36.71 | 68.35 |
[44/1010] 	| 32.14 | 66.37 | 34.62 | 62.90 |
[45/1010] 	| 33.39 | 67.02 | 35.12 | 67.26 |
[46/1010] 	| 34.34 | 67.32 | 35.02 | 68.95 |
[47/1010] 	| 35.23 | 68.58 | 38.00 | 69.64 |
[48/1010] 	| 35.62 | 69.56 | 36.11 | 70.14 |
[49/1010] 	| 37.09 | 69.68 | 35.12 | 66.67 |
[50/1010] 	| 35.51 | 69.70 | 36.61 | 70.93 |
[51/1010] 	| 37.49 | 70.85 | 37.90 | 71.73 |
