Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[93/1010] 	| 43.73 | 76.37 | 41.77 | 71.23 |
[94/1010] 	| 42.93 | 76.23 | 42.16 | 73.71 |
[95/1010] 	| 45.48 | 77.20 | 44.35 | 76.98 |
[96/1010] 	| 44.70 | 77.55 | 43.95 | 75.30 |
[97/1010] 	| 45.66 | 77.11 | 41.07 | 75.40 |
[98/1010] 	| 45.06 | 77.59 | 45.44 | 77.18 |
[99/1010] 	| 46.11 | 78.06 | 45.83 | 77.18 |
[100/1010] 	| 46.16 | 78.01 | 44.94 | 77.88 |
[101/1010] 	| 46.59 | 78.63 | 44.84 | 77.28 |
[102/1010] 	| 47.49 | 79.13 | 45.24 | 74.21 |
[103/1010] 	| 47.19 | 79.24 | 46.43 | 76.98 |
[104/1010] 	| 47.60 | 79.60 | 46.92 | 79.56 |
[105/1010] 	| 48.57 | 79.56 | 45.73 | 76.79 |
[106/1010] 	| 48.79 | 80.62 | 44.15 | 75.60 |
[107/1010] 	| 48.77 | 80.25 | 45.83 | 78.08 |
[108/1010] 	| 48.87 | 80.39 | 44.64 | 75.89 |
[109/1010] 	| 49.09 | 79.99 | 48.21 | 80.06 |
[110/1010] 	| 48.93 | 80.53 | 48.51 | 77.28 |
[111/1010] 	| 49.51 | 80.59 | 48.02 | 79.07 |
[112/1010] 	| 49.77 | 81.02 | 46.23 | 79.66 |
[113/1010] 	| 50.40 | 82.01 | 47.12 | 79.86 |
[114/1010] 	| 50.56 | 81.56 | 48.61 | 79.17 |
[115/1010] 	| 51.32 | 81.98 | 49.60 | 78.67 |
[116/1010] 	| 51.56 | 81.87 | 49.90 | 80.65 |
[117/1010] 	| 51.97 | 82.21 | 50.60 | 78.08 |
[118/1010] 	| 51.40 | 81.81 | 49.31 | 78.37 |
[119/1010] 	| 52.01 | 82.53 | 49.50 | 79.46 |
[120/1010] 	| 52.04 | 83.29 | 48.61 | 81.25 |
[121/1010] 	| 52.55 | 82.88 | 48.91 | 81.45 |
