Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[93/1010] 	| 44.97 | 75.49 | 47.12 | 76.49 |
[94/1010] 	| 44.81 | 75.93 | 46.73 | 79.76 |
[95/1010] 	| 45.40 | 77.15 | 48.51 | 77.48 |
[96/1010] 	| 44.24 | 75.57 | 46.92 | 74.21 |
[97/1010] 	| 44.46 | 75.32 | 45.83 | 77.08 |
[98/1010] 	| 45.96 | 77.00 | 50.40 | 79.07 |
[99/1010] 	| 47.24 | 78.12 | 48.21 | 78.97 |
[100/1010] 	| 47.31 | 77.94 | 49.90 | 78.77 |
[101/1010] 	| 46.81 | 78.28 | 52.48 | 80.85 |
[102/1010] 	| 48.30 | 79.09 | 51.29 | 79.07 |
[103/1010] 	| 49.61 | 79.49 | 49.90 | 78.97 |
[104/1010] 	| 49.27 | 79.56 | 52.18 | 81.25 |
[105/1010] 	| 49.61 | 79.66 | 52.38 | 80.56 |
[106/1010] 	| 51.07 | 80.63 | 49.31 | 79.46 |
[107/1010] 	| 51.20 | 80.75 | 53.27 | 82.24 |
[108/1010] 	| 50.92 | 80.34 | 50.99 | 80.65 |
[109/1010] 	| 51.91 | 80.18 | 52.58 | 79.86 |
[110/1010] 	| 52.66 | 81.59 | 52.38 | 80.46 |
[111/1010] 	| 52.99 | 81.04 | 51.88 | 81.75 |
[112/1010] 	| 52.37 | 81.38 | 51.79 | 83.43 |
[113/1010] 	| 52.84 | 81.68 | 53.57 | 82.74 |
[114/1010] 	| 53.73 | 82.38 | 54.86 | 82.04 |
[115/1010] 	| 52.76 | 81.21 | 51.49 | 82.14 |
[116/1010] 	| 54.09 | 82.46 | 54.17 | 83.63 |
[117/1010] 	| 53.74 | 82.17 | 54.56 | 82.14 |
[118/1010] 	| 55.19 | 82.64 | 56.65 | 84.33 |
[119/1010] 	| 54.79 | 83.15 | 55.56 | 83.23 |
[120/1010] 	| 54.89 | 82.78 | 55.36 | 84.33 |
[121/1010] 	| 55.76 | 82.97 | 54.66 | 82.54 |
[122/1010] 	| 56.53 | 83.42 | 56.45 | 83.04 |
[123/1010] 	| 56.55 | 83.41 | 59.23 | 85.22 |
[124/1010] 	| 56.75 | 83.66 | 54.96 | 83.63 |
[125/1010] 	| 58.13 | 84.35 | 57.74 | 83.73 |
[126/1010] 	| 58.01 | 84.76 | 59.82 | 84.13 |
[127/1010] 	| 59.21 | 85.21 | 55.95 | 84.52 |
[128/1010] 	| 58.75 | 85.09 | 57.24 | 85.12 |
[129/1010] 	| 58.35 | 84.90 | 54.46 | 83.93 |
[130/1010] 	| 59.58 | 85.13 | 56.75 | 83.93 |
[131/1010] 	| 58.77 | 85.40 | 60.12 | 84.52 |
[132/1010] 	| 60.31 | 85.72 | 58.23 | 85.32 |
[133/1010] 	| 60.39 | 86.19 | 56.65 | 84.62 |
[134/1010] 	| 60.21 | 86.12 | 60.62 | 86.01 |
[135/1010] 	| 60.46 | 86.47 | 58.53 | 85.12 |
[136/1010] 	| 60.71 | 86.60 | 57.24 | 84.62 |
[137/1010] 	| 61.49 | 86.84 | 60.32 | 85.12 |
[138/1010] 	| 61.31 | 86.48 | 61.01 | 87.00 |
[139/1010] 	| 61.23 | 86.21 | 57.94 | 85.81 |
[140/1010] 	| 63.68 | 87.81 | 60.62 | 86.01 |
[141/1010] 	| 61.80 | 87.04 | 58.43 | 85.12 |
[142/1010] 	| 62.50 | 87.49 | 57.64 | 83.43 |
[143/1010] 	| 62.84 | 87.62 | 58.63 | 84.72 |
[144/1010] 	| 63.43 | 88.12 | 62.20 | 87.40 |
[145/1010] 	| 62.94 | 87.41 | 62.70 | 87.30 |
[146/1010] 	| 63.60 | 87.96 | 60.91 | 85.52 |
[147/1010] 	| 63.87 | 88.07 | 60.22 | 86.71 |
[148/1010] 	| 64.19 | 87.63 | 59.92 | 84.82 |
[149/1010] 	| 64.38 | 88.35 | 61.21 | 86.81 |
[150/1010] 	| 64.49 | 88.88 | 61.61 | 87.60 |
[151/1010] 	| 65.55 | 89.19 | 62.70 | 86.90 |
[152/1010] 	| 66.03 | 89.18 | 61.11 | 87.00 |
[153/1010] 	| 65.90 | 88.58 | 60.91 | 86.41 |
[154/1010] 	| 66.10 | 88.70 | 61.21 | 87.30 |
[155/1010] 	| 66.28 | 89.57 | 63.69 | 85.91 |
[156/1010] 	| 66.74 | 89.54 | 60.91 | 86.31 |
[157/1010] 	| 66.21 | 89.42 | 60.02 | 88.39 |
[158/1010] 	| 67.40 | 90.00 | 63.19 | 88.19 |
[159/1010] 	| 67.16 | 89.74 | 63.29 | 88.79 |
[160/1010] 	| 67.70 | 89.87 | 63.59 | 88.00 |
[161/1010] 	| 67.45 | 89.64 | 64.98 | 86.41 |
[162/1010] 	| 68.66 | 90.25 | 63.69 | 86.81 |
[163/1010] 	| 66.93 | 89.62 | 63.49 | 87.90 |
[164/1010] 	| 68.99 | 90.69 | 63.69 | 87.80 |
[165/1010] 	| 68.65 | 90.49 | 64.19 | 88.69 |
[166/1010] 	| 69.84 | 91.19 | 64.29 | 87.80 |
[167/1010] 	| 69.76 | 91.07 | 62.20 | 87.90 |
[168/1010] 	| 68.39 | 90.39 | 63.99 | 88.99 |
[169/1010] 	| 69.92 | 91.17 | 64.88 | 88.59 |
[170/1010] 	| 71.37 | 90.95 | 63.89 | 87.70 |
[171/1010] 	| 69.92 | 91.43 | 64.58 | 85.62 |
[172/1010] 	| 70.84 | 91.76 | 65.48 | 89.19 |
[173/1010] 	| 69.81 | 90.59 | 65.67 | 87.30 |
[174/1010] 	| 71.35 | 91.57 | 66.37 | 87.90 |
[175/1010] 	| 71.04 | 91.00 | 64.68 | 88.49 |
[176/1010] 	| 72.09 | 91.43 | 63.79 | 88.59 |
[177/1010] 	| 70.67 | 91.21 | 65.77 | 88.59 |
[178/1010] 	| 72.66 | 92.20 | 63.69 | 88.79 |
[179/1010] 	| 71.43 | 92.23 | 63.79 | 89.88 |
[180/1010] 	| 71.56 | 91.50 | 66.07 | 89.48 |
[181/1010] 	| 72.33 | 91.68 | 64.78 | 88.69 |
[182/1010] 	| 72.19 | 91.99 | 66.27 | 88.59 |
[183/1010] 	| 72.69 | 92.26 | 66.77 | 89.09 |
[184/1010] 	| 73.29 | 92.54 | 66.17 | 88.29 |
[185/1010] 	| 72.96 | 92.19 | 66.17 | 89.58 |
[186/1010] 	| 72.68 | 92.16 | 65.67 | 88.29 |
[187/1010] 	| 72.88 | 92.25 | 66.87 | 88.99 |
[188/1010] 	| 73.97 | 92.50 | 66.67 | 86.51 |
[189/1010] 	| 73.37 | 92.39 | 65.28 | 88.79 |
[190/1010] 	| 74.39 | 92.94 | 65.87 | 88.49 |
[191/1010] 	| 74.22 | 93.28 | 66.77 | 88.89 |
[192/1010] 	| 73.38 | 92.75 | 65.67 | 88.49 |
[193/1010] 	| 74.83 | 93.16 | 64.19 | 89.48 |
[194/1010] 	| 73.78 | 92.58 | 66.17 | 88.79 |
[195/1010] 	| 75.04 | 93.37 | 68.15 | 89.38 |
[196/1010] 	| 75.62 | 93.58 | 65.67 | 88.59 |
[197/1010] 	| 74.49 | 92.85 | 65.77 | 89.68 |
[198/1010] 	| 74.09 | 92.77 | 65.97 | 90.38 |
[199/1010] 	| 74.38 | 92.96 | 64.68 | 88.39 |
[200/1010] 	| 74.39 | 92.59 | 65.38 | 89.09 |
[201/1010] 	| 75.14 | 92.96 | 69.25 | 90.28 |
[202/1010] 	| 74.11 | 92.66 | 64.88 | 87.70 |
[203/1010] 	| 76.88 | 93.58 | 67.56 | 89.19 |
[204/1010] 	| 75.78 | 93.37 | 66.77 | 89.68 |
[205/1010] 	| 75.79 | 93.47 | 67.96 | 90.67 |
[206/1010] 	| 76.97 | 93.96 | 65.18 | 89.38 |
[207/1010] 	| 76.05 | 93.59 | 66.17 | 88.00 |
[208/1010] 	| 74.41 | 92.87 | 64.68 | 88.99 |
[209/1010] 	| 75.53 | 93.76 | 68.25 | 89.09 |
[210/1010] 	| 76.41 | 93.93 | 65.58 | 88.89 |
[211/1010] 	| 76.87 | 93.52 | 65.48 | 89.58 |
