Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[93/1010] 	| 59.07 | 85.79 | 54.66 | 83.33 |
[94/1010] 	| 60.00 | 86.52 | 54.46 | 82.84 |
[95/1010] 	| 59.91 | 86.65 | 56.94 | 84.72 |
[96/1010] 	| 60.97 | 87.03 | 55.26 | 82.44 |
[97/1010] 	| 61.62 | 87.46 | 54.56 | 85.12 |
[98/1010] 	| 61.22 | 87.11 | 56.45 | 83.93 |
[99/1010] 	| 60.88 | 87.26 | 57.24 | 84.33 |
[100/1010] 	| 61.83 | 87.26 | 56.55 | 84.52 |
[101/1010] 	| 62.29 | 87.92 | 55.26 | 83.33 |
[102/1010] 	| 62.59 | 88.21 | 57.34 | 83.93 |
[103/1010] 	| 62.77 | 88.55 | 57.04 | 85.81 |
[104/1010] 	| 63.29 | 88.45 | 58.93 | 86.11 |
[105/1010] 	| 63.76 | 88.68 | 58.04 | 85.22 |
[106/1010] 	| 63.69 | 89.01 | 57.24 | 85.81 |
[107/1010] 	| 63.86 | 89.15 | 60.81 | 84.92 |
[108/1010] 	| 63.63 | 88.40 | 57.64 | 86.11 |
[109/1010] 	| 63.55 | 88.52 | 60.71 | 85.91 |
[110/1010] 	| 63.67 | 88.97 | 58.13 | 84.72 |
[111/1010] 	| 64.89 | 88.35 | 59.52 | 85.81 |
[112/1010] 	| 65.05 | 89.45 | 62.00 | 87.80 |
[113/1010] 	| 66.60 | 90.00 | 59.82 | 86.31 |
[114/1010] 	| 65.38 | 89.69 | 62.30 | 87.30 |
[115/1010] 	| 66.54 | 90.15 | 59.92 | 85.12 |
[116/1010] 	| 66.53 | 90.21 | 61.21 | 86.90 |
[117/1010] 	| 66.95 | 89.91 | 60.52 | 86.01 |
[118/1010] 	| 68.14 | 90.94 | 61.31 | 86.61 |
[119/1010] 	| 67.47 | 90.42 | 61.41 | 87.60 |
[120/1010] 	| 67.57 | 90.93 | 60.62 | 86.21 |
[121/1010] 	| 68.81 | 90.73 | 59.52 | 86.21 |
[122/1010] 	| 69.21 | 91.84 | 60.12 | 87.80 |
[123/1010] 	| 68.52 | 91.68 | 62.30 | 87.30 |
[124/1010] 	| 69.13 | 91.74 | 61.61 | 87.20 |
[125/1010] 	| 69.56 | 91.34 | 62.50 | 86.21 |
[126/1010] 	| 70.10 | 91.48 | 64.38 | 87.00 |
[127/1010] 	| 70.02 | 91.70 | 63.69 | 88.59 |
[128/1010] 	| 71.12 | 92.03 | 62.60 | 87.60 |
[129/1010] 	| 70.89 | 92.23 | 59.13 | 86.81 |
[130/1010] 	| 71.26 | 92.03 | 62.90 | 89.19 |
[131/1010] 	| 70.87 | 92.23 | 63.69 | 86.71 |
[132/1010] 	| 71.23 | 91.88 | 63.00 | 88.29 |
[133/1010] 	| 71.23 | 92.37 | 61.71 | 88.39 |
[134/1010] 	| 71.37 | 92.40 | 62.50 | 88.29 |
[135/1010] 	| 71.98 | 92.68 | 61.61 | 88.10 |
[136/1010] 	| 72.40 | 92.66 | 62.70 | 88.69 |
[137/1010] 	| 72.91 | 92.65 | 63.00 | 87.70 |
[138/1010] 	| 71.82 | 93.05 | 63.99 | 86.90 |
[139/1010] 	| 73.25 | 93.29 | 63.29 | 88.69 |
[140/1010] 	| 73.88 | 93.27 | 64.88 | 88.79 |
[141/1010] 	| 73.49 | 93.19 | 63.99 | 87.10 |
[142/1010] 	| 74.42 | 93.37 | 62.90 | 87.20 |
[143/1010] 	| 74.03 | 93.73 | 64.29 | 88.69 |
[144/1010] 	| 74.56 | 93.42 | 64.19 | 88.89 |
[145/1010] 	| 74.25 | 93.67 | 63.49 | 89.19 |
[146/1010] 	| 75.27 | 93.71 | 63.29 | 88.69 |
[147/1010] 	| 74.83 | 93.81 | 63.29 | 88.69 |
[148/1010] 	| 75.72 | 93.78 | 65.67 | 88.10 |
[149/1010] 	| 75.12 | 93.75 | 61.11 | 87.10 |
[150/1010] 	| 75.20 | 93.88 | 64.58 | 87.40 |
[151/1010] 	| 74.93 | 94.06 | 64.88 | 89.88 |
[152/1010] 	| 75.99 | 94.24 | 62.80 | 88.49 |
[153/1010] 	| 77.20 | 94.41 | 62.70 | 89.19 |
[154/1010] 	| 76.47 | 94.55 | 63.79 | 89.29 |
[155/1010] 	| 76.68 | 94.41 | 65.48 | 88.99 |
[156/1010] 	| 76.31 | 94.91 | 63.49 | 86.51 |
[157/1010] 	| 76.85 | 94.62 | 64.98 | 88.10 |
[158/1010] 	| 77.10 | 94.43 | 67.16 | 89.19 |
[159/1010] 	| 76.78 | 94.32 | 62.50 | 88.79 |
[160/1010] 	| 77.31 | 94.77 | 66.17 | 88.10 |
[161/1010] 	| 77.20 | 94.81 | 64.68 | 87.90 |
[162/1010] 	| 77.44 | 94.77 | 67.46 | 87.60 |
[163/1010] 	| 76.78 | 94.80 | 64.29 | 89.19 |
[164/1010] 	| 77.57 | 94.98 | 64.78 | 87.70 |
[165/1010] 	| 77.88 | 94.85 | 66.07 | 88.29 |
[166/1010] 	| 78.53 | 95.31 | 64.09 | 89.09 |
[167/1010] 	| 77.75 | 95.12 | 64.98 | 87.80 |
[168/1010] 	| 77.71 | 95.00 | 65.77 | 90.08 |
[169/1010] 	| 78.29 | 94.82 | 65.48 | 88.59 |
[170/1010] 	| 78.71 | 95.47 | 65.28 | 86.41 |
[171/1010] 	| 78.29 | 95.51 | 64.48 | 86.90 |
[172/1010] 	| 78.17 | 95.58 | 66.27 | 87.30 |
[173/1010] 	| 78.46 | 95.24 | 65.87 | 88.59 |
[174/1010] 	| 78.55 | 95.48 | 65.08 | 87.30 |
[175/1010] 	| 78.24 | 95.35 | 65.87 | 87.00 |
[176/1010] 	| 78.91 | 95.58 | 64.19 | 87.50 |
[177/1010] 	| 78.66 | 95.25 | 64.48 | 88.10 |
[178/1010] 	| 79.28 | 95.69 | 63.79 | 88.99 |
[179/1010] 	| 79.24 | 95.47 | 65.48 | 87.80 |
[180/1010] 	| 78.81 | 95.52 | 66.96 | 89.48 |
[181/1010] 	| 79.04 | 95.60 | 66.77 | 89.09 |
[182/1010] 	| 79.88 | 95.93 | 66.67 | 89.29 |
[183/1010] 	| 79.17 | 95.52 | 66.47 | 89.38 |
[184/1010] 	| 79.30 | 95.47 | 64.38 | 86.90 |
[185/1010] 	| 79.27 | 95.44 | 66.37 | 89.09 |
[186/1010] 	| 79.92 | 96.10 | 63.39 | 88.19 |
[187/1010] 	| 79.58 | 95.77 | 66.57 | 88.99 |
[188/1010] 	| 79.98 | 95.95 | 66.07 | 87.90 |
[189/1010] 	| 80.04 | 95.99 | 65.67 | 88.39 |
[190/1010] 	| 79.68 | 96.13 | 64.98 | 90.28 |
[191/1010] 	| 80.13 | 96.19 | 67.06 | 87.80 |
[192/1010] 	| 79.95 | 96.16 | 64.88 | 87.20 |
[193/1010] 	| 80.00 | 95.85 | 65.18 | 88.79 |
[194/1010] 	| 80.39 | 96.00 | 64.19 | 88.69 |
[195/1010] 	| 81.15 | 96.35 | 64.58 | 88.59 |
[196/1010] 	| 80.04 | 95.77 | 66.96 | 88.89 |
[197/1010] 	| 81.17 | 96.39 | 65.87 | 87.90 |
[198/1010] 	| 79.58 | 95.84 | 65.18 | 89.38 |
[199/1010] 	| 80.38 | 95.96 | 64.09 | 88.79 |
[200/1010] 	| 81.31 | 96.34 | 64.58 | 88.39 |
[201/1010] 	| 81.06 | 96.20 | 66.77 | 89.09 |
[202/1010] 	| 80.58 | 96.29 | 64.78 | 88.59 |
[203/1010] 	| 80.82 | 96.22 | 65.28 | 88.59 |
[204/1010] 	| 81.61 | 96.46 | 64.48 | 87.80 |
[205/1010] 	| 80.93 | 96.19 | 64.38 | 88.19 |
[206/1010] 	| 80.96 | 96.16 | 65.08 | 88.69 |
[207/1010] 	| 80.54 | 96.03 | 64.68 | 88.19 |
[208/1010] 	| 80.54 | 95.75 | 65.58 | 89.09 |
[209/1010] 	| 81.26 | 95.96 | 65.28 | 88.69 |
[210/1010] 	| 79.93 | 95.90 | 64.98 | 89.38 |
[211/1010] 	| 81.11 | 95.74 | 63.99 | 88.69 |
[212/1010] 	| 79.54 | 95.65 | 65.87 | 88.79 |
