Parameters: 32,715,210
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[93/1010] 	| 50.92 | 82.51 | 49.40 | 80.85 |
[94/1010] 	| 52.70 | 83.23 | 48.12 | 79.96 |
[95/1010] 	| 52.95 | 83.81 | 46.83 | 81.65 |
[96/1010] 	| 51.81 | 82.48 | 46.83 | 78.57 |
[97/1010] 	| 51.77 | 83.57 | 46.33 | 77.28 |
[98/1010] 	| 51.82 | 83.31 | 47.22 | 79.27 |
[99/1010] 	| 52.88 | 83.70 | 45.83 | 79.27 |
[100/1010] 	| 53.60 | 83.67 | 46.73 | 78.57 |
[101/1010] 	| 53.17 | 83.94 | 45.34 | 78.47 |
[102/1010] 	| 53.27 | 84.32 | 47.82 | 79.37 |
[103/1010] 	| 52.72 | 83.77 | 47.42 | 77.68 |
[104/1010] 	| 43.45 | 74.99 | 27.08 | 63.69 |
[105/1010] 	| 31.91 | 65.62 | 32.44 | 69.74 |
[106/1010] 	| 36.22 | 70.00 | 36.51 | 70.73 |
[107/1010] 	| 39.52 | 72.79 | 40.18 | 71.83 |
[108/1010] 	| 41.71 | 75.33 | 40.48 | 73.41 |
[109/1010] 	| 42.49 | 76.73 | 41.77 | 75.00 |
[110/1010] 	| 44.88 | 78.17 | 43.55 | 77.78 |
[111/1010] 	| 47.15 | 79.75 | 47.22 | 76.39 |
[112/1010] 	| 48.69 | 80.72 | 43.25 | 76.49 |
[113/1010] 	| 49.92 | 81.45 | 46.03 | 78.77 |
[114/1010] 	| 51.27 | 82.41 | 47.12 | 78.57 |
[115/1010] 	| 51.79 | 83.17 | 46.83 | 79.76 |
[116/1010] 	| 52.58 | 83.51 | 47.22 | 79.07 |
[117/1010] 	| 52.55 | 83.53 | 48.81 | 80.46 |
[118/1010] 	| 52.41 | 83.21 | 46.83 | 79.27 |
[119/1010] 	| 52.79 | 83.91 | 48.71 | 79.37 |
[120/1010] 	| 52.34 | 83.75 | 47.52 | 79.46 |
[121/1010] 	| 52.22 | 83.44 | 46.73 | 79.46 |
[122/1010] 	| 51.71 | 83.72 | 48.91 | 80.26 |
[123/1010] 	| 51.87 | 83.66 | 46.63 | 78.67 |
[124/1010] 	| 52.86 | 83.41 | 45.83 | 78.77 |
[125/1010] 	| 53.19 | 84.21 | 49.50 | 79.86 |
[126/1010] 	| 53.41 | 84.11 | 47.72 | 77.78 |
[127/1010] 	| 52.25 | 83.39 | 46.43 | 79.17 |
[128/1010] 	| 38.82 | 72.32 | 44.05 | 76.79 |
[129/1010] 	| 48.01 | 80.36 | 43.65 | 78.77 |
[130/1010] 	| 52.07 | 83.27 | 48.21 | 80.56 |
[131/1010] 	| 51.80 | 83.84 | 49.60 | 81.55 |
[132/1010] 	| 52.45 | 83.57 | 48.41 | 80.65 |
[133/1010] 	| 53.80 | 84.42 | 46.13 | 79.07 |
[134/1010] 	| 53.53 | 84.14 | 46.23 | 79.96 |
[135/1010] 	| 54.42 | 84.59 | 49.01 | 80.95 |
[136/1010] 	| 54.84 | 85.12 | 50.30 | 79.76 |
