Parameters: 14,139,050
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[93/1010] 	| 62.99 | 89.87 | 50.69 | 81.15 |
[94/1010] 	| 64.75 | 90.69 | 52.08 | 83.04 |
[95/1010] 	| 62.98 | 88.87 | 53.47 | 81.75 |
[96/1010] 	| 64.82 | 90.46 | 53.27 | 82.64 |
[97/1010] 	| 64.44 | 90.62 | 51.29 | 82.44 |
[98/1010] 	| 63.08 | 89.72 | 49.50 | 81.94 |
[99/1010] 	| 63.57 | 89.75 | 53.67 | 82.34 |
[100/1010] 	| 65.02 | 90.25 | 53.67 | 82.44 |
[101/1010] 	| 65.41 | 90.56 | 54.56 | 83.43 |
[102/1010] 	| 64.49 | 90.41 | 52.28 | 84.13 |
[103/1010] 	| 64.56 | 90.45 | 54.17 | 83.83 |
[104/1010] 	| 65.20 | 90.70 | 52.98 | 82.94 |
[105/1010] 	| 65.14 | 90.88 | 53.37 | 82.14 |
[106/1010] 	| 65.75 | 91.03 | 53.87 | 82.74 |
[107/1010] 	| 63.33 | 89.90 | 54.66 | 83.73 |
[108/1010] 	| 67.04 | 91.96 | 55.16 | 83.93 |
[109/1010] 	| 66.50 | 90.98 | 54.07 | 82.44 |
[110/1010] 	| 65.65 | 90.80 | 52.98 | 82.84 |
[111/1010] 	| 66.77 | 91.63 | 52.58 | 81.94 |
[112/1010] 	| 67.89 | 91.96 | 55.26 | 82.14 |
[113/1010] 	| 66.23 | 91.96 | 53.67 | 82.14 |
[114/1010] 	| 65.90 | 91.29 | 50.89 | 82.34 |
[115/1010] 	| 66.10 | 91.43 | 55.65 | 85.02 |
[116/1010] 	| 67.59 | 91.54 | 49.90 | 83.23 |
[117/1010] 	| 66.23 | 91.25 | 53.57 | 83.83 |
[118/1010] 	| 65.19 | 90.81 | 50.79 | 80.95 |
[119/1010] 	| 62.19 | 89.12 | 52.08 | 83.93 |
[120/1010] 	| 67.86 | 91.83 | 53.77 | 82.64 |
[121/1010] 	| 67.02 | 91.63 | 53.08 | 82.74 |
[122/1010] 	| 66.80 | 91.61 | 54.76 | 83.43 |
[123/1010] 	| 67.49 | 91.63 | 53.87 | 84.03 |
[124/1010] 	| 68.32 | 92.05 | 55.75 | 83.63 |
[125/1010] 	| 67.60 | 92.14 | 52.88 | 83.23 |
[126/1010] 	| 68.22 | 92.26 | 56.05 | 84.72 |
[127/1010] 	| 68.43 | 92.55 | 55.56 | 83.23 |
[128/1010] 	| 67.22 | 91.76 | 51.39 | 81.35 |
[129/1010] 	| 68.37 | 92.19 | 56.45 | 83.83 |
[130/1010] 	| 67.72 | 91.75 | 53.87 | 83.23 |
[131/1010] 	| 68.62 | 92.58 | 54.96 | 84.42 |
[132/1010] 	| 69.44 | 92.63 | 58.04 | 85.71 |
[133/1010] 	| 68.41 | 92.64 | 55.85 | 84.42 |
[134/1010] 	| 68.82 | 92.40 | 56.15 | 84.52 |
[135/1010] 	| 69.18 | 92.59 | 54.07 | 82.64 |
[136/1010] 	| 70.36 | 93.21 | 56.05 | 84.13 |
[137/1010] 	| 68.72 | 91.86 | 56.85 | 84.03 |
[138/1010] 	| 68.78 | 92.58 | 57.04 | 85.22 |
[139/1010] 	| 70.28 | 93.10 | 57.24 | 84.72 |
[140/1010] 	| 69.91 | 92.73 | 56.05 | 82.74 |
[141/1010] 	| 69.70 | 92.79 | 55.16 | 84.42 |
[142/1010] 	| 69.91 | 93.35 | 57.74 | 84.52 |
[143/1010] 	| 70.54 | 93.55 | 57.14 | 82.44 |
[144/1010] 	| 69.37 | 92.87 | 55.06 | 83.73 |
[145/1010] 	| 69.47 | 92.58 | 54.56 | 84.52 |
[146/1010] 	| 70.22 | 92.89 | 54.66 | 84.42 |
[147/1010] 	| 70.74 | 93.13 | 52.78 | 84.13 |
[148/1010] 	| 69.28 | 92.82 | 55.56 | 84.62 |
[149/1010] 	| 68.78 | 92.76 | 55.26 | 83.83 |
[150/1010] 	| 71.42 | 92.94 | 54.27 | 83.53 |
[151/1010] 	| 71.04 | 93.14 | 54.37 | 84.82 |
[152/1010] 	| 70.43 | 92.99 | 55.46 | 83.53 |
[153/1010] 	| 71.71 | 93.46 | 56.45 | 83.93 |
[154/1010] 	| 71.42 | 93.09 | 57.74 | 85.62 |
[155/1010] 	| 70.35 | 93.62 | 55.46 | 82.74 |
[156/1010] 	| 70.90 | 92.85 | 56.65 | 84.13 |
[157/1010] 	| 73.34 | 94.53 | 56.85 | 84.92 |
[158/1010] 	| 71.39 | 93.19 | 54.17 | 83.23 |
[159/1010] 	| 70.65 | 92.78 | 54.96 | 84.62 |
[160/1010] 	| 72.09 | 93.58 | 56.85 | 85.81 |
[161/1010] 	| 71.63 | 93.56 | 56.15 | 83.63 |
[162/1010] 	| 73.75 | 94.19 | 55.56 | 83.43 |
[163/1010] 	| 71.93 | 93.45 | 58.33 | 85.02 |
[164/1010] 	| 73.65 | 94.28 | 56.05 | 83.23 |
[165/1010] 	| 73.64 | 93.99 | 56.15 | 84.62 |
[166/1010] 	| 71.98 | 93.64 | 56.35 | 85.71 |
[167/1010] 	| 72.72 | 93.77 | 57.64 | 85.62 |
[168/1010] 	| 74.22 | 94.47 | 56.05 | 83.93 |
[169/1010] 	| 73.60 | 94.32 | 53.08 | 81.85 |
[170/1010] 	| 74.41 | 94.55 | 59.72 | 85.02 |
[171/1010] 	| 72.90 | 93.83 | 56.15 | 84.13 |
[172/1010] 	| 72.10 | 93.76 | 57.54 | 84.33 |
[173/1010] 	| 74.86 | 94.38 | 58.43 | 85.81 |
[174/1010] 	| 74.07 | 94.52 | 55.26 | 84.52 |
[175/1010] 	| 73.84 | 94.48 | 58.23 | 86.41 |
[176/1010] 	| 73.80 | 94.70 | 58.13 | 85.42 |
[177/1010] 	| 72.63 | 93.62 | 57.84 | 85.02 |
[178/1010] 	| 75.01 | 94.78 | 56.45 | 85.32 |
[179/1010] 	| 74.39 | 94.16 | 59.03 | 86.01 |
[180/1010] 	| 74.43 | 94.44 | 56.65 | 83.13 |
[181/1010] 	| 75.12 | 94.70 | 59.52 | 84.92 |
[182/1010] 	| 76.18 | 95.44 | 58.73 | 86.21 |
[183/1010] 	| 75.26 | 95.37 | 58.43 | 84.13 |
[184/1010] 	| 75.41 | 94.96 | 57.84 | 83.83 |
[185/1010] 	| 73.85 | 94.65 | 60.32 | 85.71 |
